URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/body-site,4.0.1,draft,"2.16.840.1.113883.4.642.3.141",SNOMEDCTBodyStructures,SNOMED CT Body Structures,"This value set includes all codes from [SNOMED CT](http://snomed.info/sct) where concept is-a 442083009 (Anatomical or acquired body site (body structure)).","StructureDefinition/fall-risk-score-observation,StructureDefinition/fall-risk-performance-observation,StructureDefinition/fall-risk-observation,StructureDefinition/fall-risk-factor-observation","SCT"
http://hl7.org/fhir/ValueSet/data-absent-reason,4.0.1,active,"2.16.840.1.113883.4.642.3.5",DataAbsentReason,DataAbsentReason,"Used to specify why the normally expected content of the data element is missing.","StructureDefinition/fall-risk-score-observation,StructureDefinition/fall-risk-performance-observation,StructureDefinition/fall-risk-observation,StructureDefinition/fall-risk-factor-observation","THO"
http://hl7.org/fhir/ValueSet/identifier-type,4.0.1,active,"2.16.840.1.113883.4.642.3.45",Identifier Type Codes,IdentifierType,"A coded type for an identifier that can be used to determine which identifier to use for a specific purpose.","StructureDefinition/fall-risk-score-observation,StructureDefinition/fall-risk-performance-observation,StructureDefinition/fall-risk-observation,StructureDefinition/fall-risk-factor-observation","THO (V2)"
http://hl7.org/fhir/ValueSet/identifier-use,4.0.1,active,"2.16.840.1.113883.4.642.3.57",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","StructureDefinition/fall-risk-score-observation,StructureDefinition/fall-risk-performance-observation,StructureDefinition/fall-risk-observation,StructureDefinition/fall-risk-factor-observation","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/languages,4.0.1,draft,"2.16.840.1.113883.4.642.3.20",CommonLanguages,Common Languages,"This value set includes common codes from BCP-47 (http://tools.ietf.org/html/bcp47)","StructureDefinition/fall-risk-score-observation,StructureDefinition/fall-risk-performance-observation,StructureDefinition/fall-risk-observation,StructureDefinition/fall-risk-factor-observation","Other"
http://hl7.org/fhir/ValueSet/observation-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.403",ObservationCategoryCodes,Observation Category Codes,"Observation Category codes.","StructureDefinition/fall-risk-score-observation,StructureDefinition/fall-risk-performance-observation,StructureDefinition/fall-risk-observation,StructureDefinition/fall-risk-factor-observation","THO"
http://hl7.org/fhir/ValueSet/observation-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.396",LOINCCodes,LOINC Codes,"This value set includes all LOINC codes","StructureDefinition/fall-risk-score-observation,StructureDefinition/fall-risk-performance-observation,StructureDefinition/fall-risk-observation,StructureDefinition/fall-risk-factor-observation","LOINC"
http://hl7.org/fhir/ValueSet/observation-interpretation,4.0.1,active,"2.16.840.1.113883.4.642.3.399",ObservationInterpretationCodes,Observation Interpretation Codes,"A categorical assessment, providing a rough qualitative interpretation of the observation value,    such as “normal”/ “abnormal”,”low” / “high”, “better” / “worse”, “susceptible” / “resistant”, “expected”/ “not expected”.    The value set is intended to be for ANY use where coded representation of an interpretation is needed.             Notes:          This is being communicated in v2.x in OBX-8 (Observation Interpretation), in v3 in ObservationInterpretation (CWE) in R1 (Representative Realm) and in FHIR in    Observation.interpretation. Historically these values come from the laboratory domain, and these codes are extensively    used. The value set binding is extensible, so codes outside the value set that are needed for interpretation concepts    (i.e. particular meanings) that are not included in the value set can be used, and these new codes may also be added to    the value set and published in a future version.","StructureDefinition/fall-risk-score-observation,StructureDefinition/fall-risk-performance-observation,StructureDefinition/fall-risk-observation,StructureDefinition/fall-risk-factor-observation","THO (V3)"
http://hl7.org/fhir/ValueSet/observation-methods,4.0.1,draft,"2.16.840.1.113883.4.642.3.395",ObservationMethods,Observation Methods,"Observation Method codes from [SNOMED CT](http://snomed.info/sct) where concept is-a 272394005 (Technique (qualifier value)) or is-a 129264002 (Action (qualifier value)) or is-a 386053000 (Evaluation procedure(procedure))","StructureDefinition/fall-risk-score-observation,StructureDefinition/fall-risk-performance-observation,StructureDefinition/fall-risk-observation,StructureDefinition/fall-risk-factor-observation","SCT"
http://hl7.org/fhir/ValueSet/observation-status,4.0.1,active,"2.16.840.1.113883.4.642.3.400",ObservationStatus,ObservationStatus,"Codes providing the status of an observation.","StructureDefinition/fall-risk-score-observation,StructureDefinition/fall-risk-performance-observation,StructureDefinition/fall-risk-observation,StructureDefinition/fall-risk-factor-observation","hl7.fhir.r4.core"
